"112";"earlier month russia prime minister mikhail mishus";"0.00037";"0.09919";"0.01501";"0.46157";"0.01501";"0.40300";"0.00037";"0.00037";"0.00037";"0.00037";"0.00403";"0.00037"
"113";"time join daniel harris finland v russia live clos";"0.01331";"0.05530";"0.06524";"0.29450";"0.00006";"0.00503";"0.01442";"0.00006";"0.01663";"0.00006";"0.49613";"0.03928"
"114";"joe biden agreed sunday vladimir putin latest asse";"0.54654";"0.00020";"0.14994";"0.00020";"0.03055";"0.00020";"0.00020";"0.00020";"0.05888";"0.21267";"0.00020";"0.00020"
"115";"britain foreign secretary ha joined last minute pu";"0.81595";"0.00023";"0.01172";"0.00023";"0.00712";"0.00023";"0.13120";"0.00023";"0.00023";"0.03240";"0.00023";"0.00023"
"116";"supporter russian opposition leader alexei navalny";"0.00036";"0.00401";"0.08425";"0.08789";"0.01131";"0.00766";"0.00036";"0.80270";"0.00036";"0.00036";"0.00036";"0.00036"
"117";"former guantnamo detainee facing forced repatriati";"0.00023";"0.02125";"0.07263";"0.00023";"0.00023";"0.08664";"0.01191";"0.76390";"0.00023";"0.00490";"0.00490";"0.03293"
"118";"historian look back donald trump presidency likely";"0.06458";"0.00012";"0.15580";"0.00012";"0.00012";"0.18986";"0.00012";"0.15459";"0.00134";"0.42946";"0.00377";"0.00012"
"119";"russia china unveiled plan joint lunar space stati";"0.38323";"0.00038";"0.00421";"0.30283";"0.09609";"0.08078";"0.00038";"0.13055";"0.00038";"0.00038";"0.00038";"0.00038"
"120";"day police arent engaged fight crime theyre also a";"0.14327";"0.15101";"0.31922";"0.11040";"0.00019";"0.11040";"0.00019";"0.16261";"0.00213";"0.00019";"0.00019";"0.00019"
"121";"leading human right organisation russia released f";"0.07232";"0.00024";"0.07472";"0.00024";"0.00024";"0.12278";"0.00024";"0.72826";"0.00024";"0.00024";"0.00024";"0.00024"
"122";"europe entering dangerous new age instability sinc";"0.76396";"0.00016";"0.00016";"0.00016";"0.00016";"0.02263";"0.00016";"0.19753";"0.00016";"0.00016";"0.00016";"0.01460"
"123";"ten thousand russian city across country taken par";"0.00099";"0.18874";"0.15909";"0.05040";"0.00099";"0.01087";"0.00099";"0.58399";"0.00099";"0.00099";"0.00099";"0.00099"
"124";"public inquiry launched death woman killed wiltshi";"0.00034";"0.19475";"0.51194";"0.00034";"0.00034";"0.05491";"0.00034";"0.23226";"0.00034";"0.00375";"0.00034";"0.00034"
"125";"appeal court netherlands ha ruled ukraine ha legal";"0.18619";"0.00035";"0.00736";"0.02139";"0.00035";"0.09502";"0.00035";"0.47721";"0.00035";"0.00035";"0.00736";"0.20372"
"126";"joe biden ha called vladimir putin demand de escal";"0.54174";"0.00235";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.31057";"0.00021";"0.14362";"0.00021";"0.00021"
"127";"november brian griffin flew luton airport moscow t";"0.02090";"0.00051";"0.00561";"0.10754";"0.00051";"0.71916";"0.03619";"0.05657";"0.05148";"0.00051";"0.00051";"0.00051"
"128";"antony blinken secretary state uk foreign secretar";"0.74918";"0.01934";"0.00027";"0.00027";"0.07925";"0.00027";"0.00027";"0.15005";"0.00027";"0.00027";"0.00027";"0.00027"
"129";"havent stopped fight regime garry kasparov word br";"0.16447";"0.00015";"0.00015";"0.30574";"0.00015";"0.43934";"0.03240";"0.00630";"0.00169";"0.00015";"0.04929";"0.00015"
"130";"russia braced second weekend unrest kremlin crack ";"0.00027";"0.00027";"0.05415";"0.04337";"0.00027";"0.09725";"0.00027";"0.79230";"0.01105";"0.00027";"0.00027";"0.00027"
"131";"kremlin ha broken silence russia biggest oppositio";"0.00245";"0.00022";"0.03139";"0.04920";"0.00022";"0.04029";"0.00022";"0.83281";"0.00022";"0.04252";"0.00022";"0.00022"
"132";"month hungarian bookshop chain fined selling child";"0.05907";"0.08987";"0.01708";"0.00588";"0.00028";"0.66937";"0.01708";"0.00028";"0.00028";"0.13466";"0.00028";"0.00588"
"133";"european court human right ha told russia free ale";"0.08864";"0.01518";"0.20127";"0.00049";"0.00049";"0.01028";"0.02008";"0.64691";"0.01518";"0.00049";"0.00049";"0.00049"
"134";"minister relying outdated energy security policy l";"0.15411";"0.00038";"0.00423";"0.00038";"0.01960";"0.01576";"0.78440";"0.00038";"0.01960";"0.00038";"0.00038";"0.00038"
"135";"tehran washington right track come back compliance";"0.87021";"0.00028";"0.00028";"0.00028";"0.00028";"0.00028";"0.12416";"0.00310";"0.00028";"0.00028";"0.00028";"0.00028"
"136";"energy charter treaty ect signed protect interest ";"0.20262";"0.01229";"0.39294";"0.00040";"0.16693";"0.00040";"0.09556";"0.12331";"0.00040";"0.00436";"0.00040";"0.00040"
"137";"president joe biden ha unveiled multinational plan";"0.00541";"0.00049";"0.00049";"0.00049";"0.73868";"0.00049";"0.00049";"0.00049";"0.05463";"0.19734";"0.00049";"0.00049"
"138";"united state european delegation un security counc";"0.19314";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.80480";"0.00021";"0.00021";"0.00021";"0.00021"
"139";"joe bidens accession presidency ha spawned huge bo";"0.64820";"0.01656";"0.05540";"0.00020";"0.00020";"0.05540";"0.00020";"0.16987";"0.00020";"0.04722";"0.00634";"0.00020"
"140";"wrap today blog samantha lock dont miss thing foll";"0.01063";"0.10665";"0.01692";"0.09042";"0.00136";"0.00500";"0.00070";"0.00268";"0.74071";"0.02122";"0.00003";"0.00368"
"141";"angela merkel ha asked vladimir putin intervene cr";"0.30656";"0.00020";"0.00216";"0.00216";"0.00020";"0.00020";"0.00609";"0.67773";"0.00020";"0.00412";"0.00020";"0.00020"
"142";"russian opposition politician alexei navalny ha de";"0.00019";"0.00206";"0.00019";"0.01894";"0.00019";"0.10334";"0.00019";"0.87416";"0.00019";"0.00019";"0.00019";"0.00019"
"143";"good morning barack obama ha called world leader s";"0.00014";"0.07339";"0.02998";"0.03812";"0.23481";"0.13714";"0.00014";"0.00014";"0.11272";"0.32434";"0.00014";"0.04897"
"144";"wife jailed russian opposition leader alexei naval";"0.02637";"0.00037";"0.00037";"0.00037";"0.00037";"0.08952";"0.00037";"0.87704";"0.00037";"0.00409";"0.00037";"0.00037"
"145";"switching world largest carbon capture storage pla";"0.20950";"0.00033";"0.00033";"0.00033";"0.75730";"0.00033";"0.00033";"0.00033";"0.03021";"0.00033";"0.00033";"0.00033"
"146";"joe bidens meeting vladimir putin geneva looked li";"0.82352";"0.03025";"0.00421";"0.00220";"0.00220";"0.12640";"0.00020";"0.00020";"0.00821";"0.00220";"0.00020";"0.00020"
"147";"joe biden monday far ha evidence cyber attack late";"0.03071";"0.00019";"0.49618";"0.00019";"0.01927";"0.00019";"0.14136";"0.00019";"0.00019";"0.31114";"0.00019";"0.00019"
"148";"barack obama ha called world leader step step aver";"0.08605";"0.00041";"0.02488";"0.15131";"0.60808";"0.00041";"0.00041";"0.00856";"0.00041";"0.08605";"0.03303";"0.00041"
"149";"january alexei navalny boarded flight moscow russi";"0.00285";"0.00014";"0.09114";"0.07892";"0.00014";"0.43616";"0.00014";"0.38998";"0.00014";"0.00014";"0.00014";"0.00014"
